date,value
1.73E+12,75561.09
1.73E+12,80364.3
1.73E+12,80474.82
1.73E+12,77084.1
1.73E+12,79715.65
1.73E+12,72439.125
1.73E+12,78603.734
1.73E+12,77151.85
1.73E+12,72316.19
1.73E+12,75780.51
1.73E+12,74241
1.73E+12,73254.984
1.73E+12,75091.36
1.73E+12,76027.71
1.73E+12,77027.266
1.73E+12,74721.61
1.73E+12,76493.125
1.73E+12,75618.37
1.73E+12,73310.92
1.73E+12,76872.766
1.73E+12,73917.03
1.73E+12,77306.53
1.73E+12,76521.71
1.73E+12,77995.83
1.73E+12,76996.734
1.73E+12,74546.66
1.73E+12,75779.83
1.73E+12,75283.984
1.73E+12,78204.79
1.73E+12,80103.69
1.73E+12,76952.14
1.73E+12,78381.34
1.73E+12,75882.46
1.73E+12,76032.22
1.73E+12,80983.53
1.73E+12,75865.05
1.73E+12,75435.164
1.73E+12,76833.16
1.73E+12,79366.19
1.73E+12,74708.2
1.73E+12,77470.07
1.73E+12,78669.875
1.73E+12,75572.336
1.73E+12,76012.875
1.73E+12,78628.88
1.73E+12,74680.5
1.73E+12,76699.62
1.73E+12,77728.4
1.73E+12,73761
1.73E+12,75759.87
1.73E+12,73309.695
1.73E+12,75928.33
1.73E+12,78968.32
1.73E+12,79383.73
1.73E+12,73278.14
1.73E+12,74675.64
1.73E+12,76031.51
1.73E+12,71925.49
1.73E+12,72575.97
1.73E+12,72903.23
1.73E+12,71075.74
1.73E+12,75386.52
1.73E+12,66919.586
1.73E+12,66132.18
1.73E+12,76702.61
1.73E+12,60988.79
1.73E+12,60164.703
1.73E+12,110829.27
1.73E+12,110389.89
1.73E+12,105855.55
1.73E+12,109288.76
1.73E+12,100845.77
1.73E+12,94968.7
1.73E+12,98225.84
1.73E+12,94720.914
1.73E+12,98362.125
1.73E+12,97586.805
1.73E+12,95529.31
1.73E+12,99829.414
1.73E+12,95946
1.73E+12,96083.945
1.73E+12,97148.266
1.73E+12,90399.63
1.73E+12,93582.61
1.73E+12,93532.234
1.73E+12,94229.36
1.73E+12,90883.484
1.73E+12,93216.26
1.73E+12,94932.65
1.73E+12,101841.65
1.73E+12,100045.836
1.73E+12,104344.836
1.73E+12,101571.98
1.73E+12,103219.8
1.73E+12,108369.49
1.73E+12,106967.35
1.73E+12,107100.73
1.73E+12,104730.83
1.73E+12,101640.81
1.73E+12,103767.38
1.73E+12,99641.516
1.73E+12,96997.01
1.73E+12,96553.75
1.73E+12,102430.37
1.73E+12,96163.65
1.73E+12,97014.555
1.73E+12,95381.81
1.73E+12,97459.63
1.73E+12,95175.734
1.73E+12,100652.16
1.73E+12,93348.95
1.73E+12,95592.84
1.73E+12,102522.35
1.73E+12,101952.85
1.73E+12,104207.15
1.73E+12,101593.19
1.73E+12,104210.88
1.73E+12,101685.945
1.73E+12,104158.96
1.73E+12,105624.8
1.73E+12,104466.97
1.73E+12,104241.35
1.73E+12,100586.86
1.73E+12,104942.06
1.73E+12,100180.93
1.73E+12,101658.266
1.73E+12,104544.97
1.73E+12,101796.484
1.73E+12,104337.22
1.73E+12,100420.5
1.73E+12,101708.21
1.73E+12,94422.28
1.73E+12,100633.5
1.73E+12,89486.95
1.73E+12,96135.27
1.73E+12,91259.34
1.73E+12,95926.06
1.73E+12,91570.03
1.73E+12,100003.8
1.73E+12,101839.52
1.73E+12,103484.17
1.73E+12,100807.44
1.73E+12,109080.3
1.73E+12,104239.65
1.73E+12,106607.96
1.73E+12,104817.43
1.73E+12,104057.87
1.73E+12,106933.32
1.73E+12,107294.805
1.73E+12,103978.52
1.73E+12,104523.52
1.73E+12,102813.125
1.73E+12,97361.69
1.73E+12,97063.695
1.73E+12,100555.39
1.73E+12,96118.31
1.73E+12,99528.02
1.73E+12,95563.55
1.73E+12,95686.42
1.73E+12,96331.42
1.73E+12,95656.83
1.73E+12,101008.945
1.73E+12,98014.734
1.73E+12,96509.766
1.73E+12,103426.984
1.73E+12,99808.93
1.73E+12,105094.16
1.73E+12,101967.39
1.73E+12,106567.56
1.73E+12,103668.1
1.73E+12,102750.42
1.73E+12,103744.6
1.73E+12,103492.05
1.73E+12,99974.62
1.73E+12,103506.93
1.73E+12,98439.445
1.73E+12,99881.31
1.73E+12,100366.8
1.73E+12,103188.586
1.73E+12,104904.82
1.73E+12,100675.24
1.73E+12,97043.625
1.73E+12,102145.305
1.73E+12,97967.38
1.73E+12,99630.79
1.73E+12,98507.48
1.73E+12,101687.22
1.73E+12,102323.375
1.73E+12,99408.73
1.73E+12,105470.32
1.73E+12,102221.73
1.73E+12,107021.1
1.73E+12,105422.54
1.73E+12,110496.08
1.73E+12,107558.74
1.73E+12,106570.92
1.73E+12,108091.54
1.73E+12,102481.2
1.73E+12,104905.51
1.73E+12,106480.06
1.73E+12,103507.984
1.73E+12,99705.984
1.73E+12,99529.58
1.73E+12,93290.72
1.73E+12,88819.36
1.73E+12,81206.03
1.73E+12,84080.16
1.73E+12,85677.836
1.73E+12,85047.01
1.73E+12,76969.86
1.73E+12,75240.516
1.73E+12,78357.41
1.73E+12,74946.71
1.73E+12,75124.266
1.73E+12,81762.94
1.73E+12,77542.805
1.73E+12,82314.414
1.73E+12,84715.625
1.73E+12,85913.12
1.73E+12,83481.57
1.73E+12,85552.46
1.73E+12,84188.266
1.73E+12,87265.23
1.73E+12,82127.12
1.73E+12,85196.84
1.73E+12,84122.555
1.73E+12,83616.875
1.73E+12,83963.62
1.73E+12,80279.48
1.73E+12,78858.66
1.73E+12,82935.08
1.73E+12,76598.02
1.73E+12,81343.69
1.73E+12,83299.15
1.73E+12,78189.555
1.73E+12,78333.28
1.73E+12,75881.7
1.73E+12,80180.57
1.73E+12,78145.53
1.73E+12,78669.57
1.73E+12,83162.16
1.73E+12,80879.42
1.73E+12,80441.77
1.73E+12,80534.77
1.73E+12,84676.46
1.73E+12,77138.086
1.73E+12,80330.16
1.73E+12,79318.02
1.73E+12,82184.945
1.73E+12,77981.73
1.73E+12,80677.47
1.73E+12,84096.86
1.73E+12,80512.055
1.73E+12,83783.21
1.73E+12,79817.85
1.73E+12,78866.766
1.73E+12,80333.484
1.73E+12,77889.44
1.73E+12,82069.164
1.73E+12,83156.58
1.73E+12,80233.61
1.73E+12,84004.62
1.73E+12,83797.42
1.73E+12,84370.04
1.73E+12,77832.414
1.73E+12,83684.15
1.73E+12,81615.36
1.73E+12,78217.76
1.73E+12,80462.89
1.73E+12,78798.99
1.73E+12,79268.734
1.73E+12,75861.47
1.73E+12,80737.375
1.73E+12,113533.65
1.73E+12,106333.26
1.73E+12,111068.96
1.73E+12,102897.2
1.73E+12,101167.74
1.73E+12,110105.73
1.73E+12,102613.54
1.73E+12,97399.94
1.73E+12,91825.07
1.73E+12,95330.42
1.73E+12,93304.11
1.73E+12,97274.11
1.73E+12,104412.1
1.73E+12,101423.39
1.73E+12,101426.01
1.73E+12,97371.28
1.73E+12,100663.766
1.73E+12,100625.55
1.73E+12,103768.71
1.73E+12,102646.266
1.73E+12,100416.13
1.73E+12,99877.5
1.73E+12,103910.18
1.73E+12,98339.27
1.73E+12,99576.54
1.73E+12,94412.555
1.73E+12,99619.6
1.73E+12,90362.875
1.73E+12,94213.484
1.73E+12,97504.32
1.73E+12,96190.125
1.73E+12,97313.67
1.73E+12,95455.83
1.73E+12,102164.06
1.73E+12,99407.46
1.73E+12,100092.89
1.73E+12,98075.914
1.73E+12,94128.22
1.73E+12,97163.38
1.73E+12,89362.56
1.73E+12,90330.7
1.73E+12,89216.78
1.73E+12,89436.51
1.73E+12,93907.45
1.73E+12,92319.18
1.73E+12,92519.45
1.73E+12,91627.15
1.73E+12,95934
1.73E+12,95564.73
1.73E+12,90963.51
1.73E+12,94408.05
1.73E+12,94950.68
1.73E+12,91181.875
1.73E+12,93738.75
1.73E+12,94283.3
1.73E+12,91148.62
1.73E+12,84179.164
1.73E+12,87124.64
1.73E+12,90483.96
1.73E+12,89543.266
1.73E+12,87172.44
1.73E+12,95148.88
1.73E+12,97912.89
1.73E+12,92779.78
1.73E+12,92788.73
1.73E+12,95078.89
1.73E+12,96662.23
1.73E+12,94501.88
1.73E+12,95799.12
1.73E+12,90853.664
1.73E+12,95423.83
1.73E+12,96079.32
1.73E+12,98097.79
1.73E+12,98280.37
1.73E+12,93037.23
1.73E+12,95504.72
1.73E+12,95916.6
1.73E+12,93093.36
1.73E+12,94342.47
1.73E+12,93799.414
1.73E+12,96860.22
1.73E+12,95538.97
1.73E+12,96363.695
1.73E+12,93755.06
1.73E+12,91479.836
1.73E+12,95560.086
1.73E+12,93391
1.73E+12,96007.83
1.73E+12,103910.22
1.73E+12,99611.96
1.73E+12,98784.09
1.73E+12,95414.17
1.73E+12,97856.52
1.73E+12,92026.16
1.73E+12,86053.805
1.73E+12,88949.05
1.73E+12,95269.12
1.73E+12,92176.484
1.73E+12,97919.3
1.73E+12,96852.41
1.73E+12,99937.32
1.73E+12,95379.25
1.73E+12,98467.44
1.73E+12,94555.8
1.73E+12,98930.766
1.73E+12,93693.74
1.73E+12,92904.11
1.73E+12,101857.836
1.73E+12,99045.24
1.73E+12,100389.53
1.73E+12,98523.695
1.73E+12,99668.9
1.73E+12,98240.95
1.73E+12,100138.24
1.73E+12,96964.23
1.73E+12,97635.22
1.73E+12,100881.04
1.73E+12,100059.984
1.73E+12,106313.11
1.73E+12,100453.76
1.73E+12,97928.195
1.73E+12,100954.74
1.73E+12,101712.88
1.73E+12,97973.9
1.73E+12,100593.26
1.73E+12,101701.38
1.73E+12,100184.68
1.73E+12,104073.88
1.73E+12,102267
1.73E+12,108398.43
1.73E+12,106995.016
1.73E+12,110336.45
1.73E+12,108541.6
1.73E+12,102428.62
1.73E+12,102306.99
1.73E+12,105478.56
1.73E+12,101680.47
1.73E+12,102560.28
1.73E+12,101240.47
1.73E+12,99310.04
1.73E+12,98000.29
1.73E+12,91942.08
1.73E+12,79297.66
1.73E+12,72511.64
1.73E+12,76919.89
1.73E+12,73359.49
1.73E+12,68813.234
1.73E+12,69986.76
1.73E+12,68211.28
1.73E+12,66562.55
1.73E+12,64985.22
1.73E+12,68163.95
1.73E+12,69039.39
1.73E+12,66587.12
1.73E+12,69429.01
1.73E+12,67501.49
1.73E+12,65797.3
1.73E+12,67339.484
1.73E+12,69061.02
1.73E+12,62171.48
1.73E+12,67541.55
1.73E+12,65638.93
1.73E+12,67516.71
1.73E+12,71353.13
1.73E+12,67724.69
1.73E+12,71561.14
