date,F1,F2,F3,F4,F5,OT
2020/1/3 13:00,0.514423077,0.078947368,0.487179487,0.277777778,0.604,0.558645374
2020/1/3 14:00,0.567307692,0.070175439,0.480769231,0.333333333,0.64,0.610132159
2020/1/3 15:00,0.509615385,0.096491228,0.442307692,0.259259259,0.584,0.595814978
2020/1/3 16:00,0.554487179,0.081871345,0.482905983,0.296296296,0.637333333,0.64335536
2020/1/3 17:00,0.370192308,0.131578947,0.435897436,0.277777778,0.532,0.515693833
2020/1/3 18:00,0.509615385,0.122807018,0.448717949,0.222222222,0.528,0.593612335
2020/1/3 19:00,0.370192308,0.192982456,0.474358974,0.185185185,0.416,0.375825991
2020/1/3 20:00,0.567307692,0.122807018,0.455128205,0.222222222,0.576,0.578744493
2020/1/3 21:00,0.378205128,0.140350877,0.474358974,0.24691358,0.613333333,0.706681351
2020/1/3 22:00,0.173076923,0.192982456,0.467948718,0.148148148,0.28,0.216409692
2020/1/3 23:00,0.350961538,0.140350877,0.471153846,0.185185185,0.452,0.461453744
2020/1/4 0:00,0.490384615,0.166666667,0.461538462,0.240740741,0.472,0.44465859
2020/1/4 1:00,0.365384615,0.219298246,0.461538462,0.222222222,0.344,0.264317181
2020/1/4 2:00,0.317307692,0.228070175,0.301282051,0.222222222,0.36,0.360132159
2020/1/4 3:00,0.125,0.274853801,0.316239316,0.160493827,0.2,0.159324523
2020/1/4 4:00,0.173076923,0.412280702,0.375,0.166666667,0.124,0.093887665
2020/1/4 5:00,0.173076923,0.421052632,0.423076923,0.148148148,0.112,0.084251101
2020/1/4 6:00,0.163461538,0.307017544,0.33974359,0.166666667,0.216,0.168777533
2020/1/4 7:00,0.169871795,0.49122807,0.307692308,0.185185185,0.138666667,0.100954479
2020/1/4 8:00,0.153846154,0.543859649,0.25,0.185185185,0.072,0.061123348
2020/1/4 9:00,0.192307692,0.280701754,0.352564103,0.222222222,0.248,0.218061674
2020/1/4 10:00,0.201923077,0.403508772,0.301282051,0.148148148,0.208,0.16685022
2020/1/4 11:00,0.149038462,0.692982456,0.272435897,0.148148148,0.088,0.082048458
